SECCION 1 - RESUMEN POR ZONA

"Zona","Matriculas","Personas","Capacidad (meta)","Cupos disponibles","Ocupacion (%)","Cursos","Grupos","En espera","Cursos baja ocupacion (<30%)"
Bogota & Cundinamarca,6530,6530,8400,1870,77.7,35,161,111,7
Antioquia & Eje Cafetero,2614,2614,4550,1936,57.5,21,91,16,4
Zona Caribe,2015,2015,2400,385,84.0,23,47,13,3
"Santanderes, Boyaca y Cesar",1378,1378,1470,92,93.7,16,28,11,2
Zona Pacifico,3666,3666,4550,884,80.6,27,88,49,3
Zona Sur & Llanos,3369,3369,5150,1781,65.4,20,103,42,3
Total 6 zonas,19572,19572,26520,6948,73.8,,518,242,22

SECCION 2 - DETALLE DE CURSOS POR ZONA

"Zona","Codigo","Curso","Grupos","Capacidad","Matriculados","Disponibles","Grupos llenos","En espera"
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5131,Miercoles 11:00 - 12:30 a.m,50,50,1
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5132,Jueves 19:00 - 20:30 p.m,50,50,1
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5133,Viernes 10:00 - 11:30 a.m,50,50,0
Bogota & Cundinamarca,C-2554,Sistemas e Informatica | Nivel basico,G-5134,Jueves 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2535,Salud y Bienestar para Ovinos y Caprinos,G-4764,Sabado 8:00 - 9:30 a.m,60,37,0
Bogota & Cundinamarca,C-2504,Reposteria 1,G-4974,Martes 18:00 - 19:30 p.m,50,50,1
Bogota & Cundinamarca,C-2504,Reposteria 1,G-4975,Miercoles 17:00 - 18:30 p.m,50,50,0
Bogota & Cundinamarca,C-2504,Reposteria 1,G-4976,Sabado 8:00 - 9:30 a.m,50,50,1
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4694,Jueves 19:00 - 20:30 p.m,50,29,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4722,Viernes 10:00 - 11:30 a.m,50,20,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4757,Sabado 10:00 - 11:30 a.m,50,36,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4832,Martes 14:00 - 15:30 p.m,50,19,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4833,Martes 19:00 - 20:30 p.m,50,12,0
Bogota & Cundinamarca,C-2487,Bienestar para la Persona Mayor,G-4834,Jueves 9:00 - 10:30 a.m,50,14,0
Bogota & Cundinamarca,C-2592,Frances Nivel 2,G-4922,Sabado 9:00 - 10:30 a.m,50,45,0
Bogota & Cundinamarca,C-2592,Frances Nivel 2,G-4926,Sabado 10:00 - 11:30 a.m,50,44,0
Bogota & Cundinamarca,C-2565,Modisteria (Faldas),G-5005,Miercoles 15:00 - 16:30 p.m,60,60,4
Bogota & Cundinamarca,C-2565,Modisteria (Faldas),G-5006,Sabado 9:00 - 10:30 a.m,60,60,1
Bogota & Cundinamarca,C-2564,Munecas de Trapo,G-4988,Martes 9:00 - 10:30 a.m,60,60,0
Bogota & Cundinamarca,C-2564,Munecas de Trapo,G-4989,Viernes 8:00 - 9:30 a.m,60,60,2
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4990,Martes 10:00 - 11:30 a.m,50,44,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4991,Martes 20:00 - 21:30 p.m,50,50,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4992,Martes 20:00 - 21:30 p.m,50,34,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4993,Jueves 14:00 - 15:30 p.m,50,21,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4994,Sabado 8:00 - 9:30 a.m,50,38,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-4995,Sabado 9:00 - 10:30 a.m,50,36,0
Bogota & Cundinamarca,C-2563,Orientacion Emprendedora,G-5010,Sabado 9:00 - 10:30 a.m,50,18,0
Bogota & Cundinamarca,C-2488,Bisuteria 1,G-4773,Miercoles 10:00 - 11:30 a.m,60,60,0
